"term","sentiment"
"abandon","-40"
"abandoned","-40"
"abandons","-40"
"abducted","-40"
"abduction","-40"
"abductions","-40"
"abhor","-60"
"abhorred","-60"
"abhorrent","-60"
"abhors","-60"
"abilities","40"
"ability","40"
"aboard","20"
"aborted","-20"
"aborts","-20"
"absentee","-20"
"absentees","-20"
"absolve","40"
"absolved","40"
"absolves","40"
"absolving","40"
"absorbed","20"
"abuse","-60"
"abused","-60"
"abuses","-60"
"abusing","-60"
"abusive","-60"
"accept","20"
"acceptable","20"
"acceptance","20"
"accepted","20"
"accepting","20"
"accepts","20"
"accessible","20"
"accident","-40"
"accidental","-40"
"accidentally","-40"
"accidents","-40"
"acclaim","40"
"acclaimed","40"
"accolade","40"
"accomplish","40"
"accomplished","40"
"accomplishes","40"
"accomplishment","40"
"accomplishments","40"
"accusation","-40"
"accusations","-40"
"accuse","-40"
"accused","-40"
"accuses","-40"
"accusing","-40"
"ache","-40"
"achievable","20"
"aching","-40"
"acquit","40"
"acquits","40"
"acquitted","40"
"acquitting","40"
"acrimonious","-60"
"active","20"
"adequate","20"
"admire","60"
"admired","60"
"admires","60"
"admiring","60"
"admit","-20"
"admits","-20"
"admitted","-20"
"admonish","-40"
"admonished","-40"
"adopt","20"
"adopts","20"
"adorable","60"
"adoration","60"
"adore","60"
"adored","60"
"adores","60"
"adoring","60"
"adoringly","60"
"advanced","20"
"advantage","40"
"advantageous","40"
"advantageously","40"
"advantages","40"
"adventure","40"
"adventures","40"
"adventurous","40"
"adversary","-20"
"advisable","20"
"affected","-20"
"affection","60"
"affectionate","60"
"affectionateness","60"
"afflicted","-20"
"affordable","40"
"affronted","-20"
"aficionados","40"
"afraid","-40"
"aggravate","-40"
"aggravated","-40"
"aggravates","-40"
"aggravating","-40"
"aggression","-40"
"aggressions","-40"
"aggressive","-40"
"aggressiveness","-40"
"aghast","-40"
"agog","40"
"agonise","-60"
"agonised","-60"
"agonises","-60"
"agonising","-60"
"agonize","-60"
"agonized","-60"
"agonizes","-60"
"agonizing","-60"
"agree","20"
"agreeable","40"
"agreed","20"
"agreement","20"
"agrees","20"
"alarm","-40"
"alarmed","-40"
"alarmist","-40"
"alarmists","-40"
"alas","-20"
"alert","-20"
"alienation","-40"
"alive","20"
"allegation","-40"
"allegations","-40"
"allergic","-40"
"allow","20"
"ally","40"
"alone","-40"
"altruistic","40"
"amaze","40"
"amazed","40"
"amazes","40"
"amazing","80"
"ambitious","40"
"ambivalent","-20"
"amicable","40"
"amuse","60"
"amused","60"
"amusement","60"
"amusements","60"
"anger","-60"
"angered","-60"
"angers","-60"
"angry","-60"
"anguish","-60"
"anguished","-60"
"animosity","-40"
"annoy","-40"
"annoyance","-40"
"annoyed","-40"
"annoying","-40"
"annoys","-40"
"antagonistic","-40"
"anti","-20"
"anticipation","20"
"anxiety","-40"
"anxious","-40"
"apathetic","-60"
"apathy","-60"
"apeshit","-60"
"apocalyptic","-40"
"apologise","-20"
"apologised","-20"
"apologises","-20"
"apologising","-20"
"apologize","-20"
"apologized","-20"
"apologizes","-20"
"apologizing","-20"
"apology","-20"
"appalled","-40"
"appalling","-40"
"appealing","40"
"appease","40"
