"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"eligibility",0,0,14.515102,0.013442,65.750628,0.000926,0,19.719901
"rape",0,0,50.000114,0,0,1.9e-05,49.999848,1.9e-05
"one-time",0,0.00013,5.3e-05,86.631865,4e-06,13.346729,0,0.021218
"demure",0,99.999588,0,0,0,0.000411,0,1e-06
"obfuscate",100,0,0,0,0,0,0,0
"thumbprint",0,0,0,0,0,100,0,0
"herder",0,0,0,3e-06,0,5e-06,0,99.999992
"king-sized",0,0,0,0,0,100,0,0
"harper",0,0,0,2e-06,0,99.999996,0,1e-06
"consolation",4e-06,1e-06,0,1e-06,0,99.994417,0.005578,0
"favour",8e-06,56.591391,0,0,0,0.002567,9.774091,33.631942
"enzyme",0,99.995829,0,0,0,1.1e-05,0.00416,0
"tangy",0,5e-05,0,0,0,99.99995,0,0
"mauler",0,99.080843,0,0,0,0.919157,0,0
"skilful",0,0,0,0,64.413842,35.586158,0,0
"overpay",0,63.337582,2e-06,0,0.030632,0,36.631784,0
"discontented",0,0,0,0,0,100,0,0
"commandment",0,1e-06,0,0,0,0,99.999999,0
"absolutism",0,0,0,35.146034,0,0,64.853966,0
"hegemon",0.00024,95.244323,0.001232,1e-06,4.751927,0.002251,2.6e-05,0
"willfully",0,0,0,0,0,5e-06,4.08451,95.915485
"workings",0,0,0,0,10.72563,89.274351,1.8e-05,0
"gogh",53.985468,0,0,0,0,46.014532,0,0
"fanciful",0,0.003465,0,0,0,99.996535,0,0
"callisto",0,0.000179,0,0,0,0,99.999821,0
"skyrocket",1e-06,17.589443,22.112037,0.000139,5.048422,15.487919,11.88042,27.881618
"peach",0,0,3e-06,0.004556,0,1e-05,0,99.995431
"decipher",0.000897,1.3e-05,0,0,0,0.096246,99.47871,0.424133
"sunspot",99.813218,0.062005,0,0,1.8e-05,0.124748,1e-06,1e-05
"hangar",0,2.917876,83.371169,0.000459,0,0,0,13.710496
"felicity",0,0,0,1e-06,0,99.999998,0,0
"flagpole",0,13.240884,0,0,0,65.539767,21.219349,0
"grumpy",0.220076,99.779924,0,0,0,0,0,0
"copilot",0,0,0,6e-06,0,2e-06,99.999786,0.000205
"stalker",0,0,0,0,0,99.999969,6e-06,2.4e-05
"scrapbook",0,99.99999,0,0,0,1e-05,0,0
"estimate",0.051663,7.1e-05,50.001924,1e-06,2e-06,3.500583,0.000757,46.444999
"fallen",99.999983,0,0,0,0,1.7e-05,0,0
