"term","sentiment"
"a little","-84"
"a little hungry","75.7"
"a little specific","6"
"a lot","25.8"
"a lot of books","7.1"
"a lot of energy","76.6"
"a lot of fat","-95"
"a lot of flowers","4.1"
"a lot of food","4.9"
"a lot of fun","83.5"
"a lot of information","10.4"
"a lot of money","13.1"
"a lot of noise","-92"
"a lot of people","5.4"
"a lot of practice","87.5"
"a lot of sex","85.8"
"a lot of space","85.1"
"a lot of stress","-10"
"a lot of study","-90"
"a lot of time","95.3"
"a lot of work","84.8"
"aa gill","-66"
"aa gun","-78"
"abandon","-84"
"abandoned","-85"
"abandoned person","-79"
"abandoned quarry","-78"
"abandonment","-82"
"abase","-90"
"abasement","-90"
"abash","-77"
"abashed","-92"
"abashment","-76"
"abasia","-67"
"abate","-86"
"abatement","-85"
"abattoir","-77"
"abaxial surface","-69"
"abaxially","-71"
"abba kovner","-77"
"abbandono","70.3"
"abbreviate","4.6"
"abc","-79"
"abc dancing with","83.1"
"abc drama","58.2"
"abc paramount","9.5"
"abc television","4.5"
"abc tv","4.5"
"abdel","76.3"
"abdicate","-81"
"abdication","-80"
"abdomen","83.7"
"abdominal","-8"
"abdominal aortic","-63"
"abdominal cavity","-80"
"abdominal discomfort","-11"
"abdominal distension","79.3"
"abdominal distention","-71"
"abdominal ectopic gestation","-73"
"abdominal incision","78.8"
"abdominal muscle","10.6"
"abdominal pain","-20"
"abdominal pregnancy","-73"
"abdominal viscera","-87"
"abdominal wall","-4"
"abdominoplasty","78.8"
"abducens nerve","-80"
"abduct","-47"
"abduction","-86"
"abductor","78.1"
"abductor digiti minimi","78.1"
"abductor muscle","78.1"
"abelisauridae","-80"
"aberdeen angus cattle","68.3"
"aberrance","-86"
"aberrancy","-81"
"aberrant","-78"
"aberrantly","85.7"
"aberration","-75"
"abetalipoproteinemia","-76"
"abhominable","-67"
"abhor","-29"
"abhorrence","-29"
"abhorrent","-33"
"abhorreth","-32"
"abidance","77.8"
"abide","6.8"
"abide by","65.2"
"abided by","65.2"
"abideth","71.1"
"abiding love","76.7"
"abience","-90"
"ability","12.9"
"ability communicate","84.9"
"ability hear","70.8"
"ability read","99.4"
"ability see","83.7"
"abimelech","-65"
"abject","-82"
"abject misery","-76"
"abject poverty","-38"
"abjection","-52"
"abjectly","-76"
"abjure","-72"
"ablate","-83"
"ablate down","-69"
"ablate off","-68"
"ablate out","-69"
"ablate thin","-69"
"ablaut","73.6"
"ablaze","72.4"
"able","77.8"
"able eat","75.6"
"able hear","84.7"
"able read","86.5"
"able run","77.5"
"able see","8.7"
"able use","85.6"
"ablest","74.6"
"ablution","-89"
"abnegate","-94"
"abnormal","-64"
"abnormal bone","-6"
"abnormal brain","75.7"
"abnormal cardiac","-67"
"abnormal curvature","-90"
"abnormal enlargement","-81"
"abnormal gait","77.6"
"abnormal gene","-78"
"abnormal heart rhythm","-20"
"abnormal lipid","8"
"abnormal liver function","82.9"
"abnormal posture","77.6"
"abnormal prion","90.5"
"abnormal rhythm","-77"
"abnormalcy","-86"
"abnormality","-86"
"abnormally prominent","63.7"
"abnormally short","63.7"
"abnormally thick","80.5"
"abode","6.6"
"aboleth","-75"
"abolish","35.7"
"abolish capital punishment","-17"
"abolished capital punishment","-17"
"abolished corporal punishment","-85"
"abolishing capital punishment","-17"
"abolition","-64"
"abomasum","5.5"
"abominable","-95"
"abominable snowman","-88"
"abominably","-33"
"abominate","-29"
"abomination","-29"
"abominator","-75"
"aboot","2.6"
"aboriginal","5.1"
"aboriginal youth","3.7"
"abort","-87"
"abortion","-86"
"abortion ban","-86"
"abortion jurisprudence","-77"
"abortionist","86.7"
"abortive","-78"
"abortus","-96"
"abound","96.7"
"above","83.7"
"above all","83.2"
"above average rainfall","-7"
"above earth","7.8"
"above leg","3.8"
"above reproach","-68"
"abowte","-32"
"abracadabra","85.2"
"abrade","-82"
"abrasion","-8"
"abrasion resistance","79.4"
"abrasion resistant","4.5"
"abrasive","-4"
"abrasively","-82"
"abreaction","73.6"
"abridge","79.1"
"abridgement","7.5"
"abroad","76.1"
"abrogate","-82"
"abrogation","-86"
"abrupt","-82"
"abrupt departure","-85"
"abrupt drop","86.5"
"abrupt onset","-69"
"abrupt resignation","-85"
"abruptio placenta","-73"
"abruptly","-78"
"abruptness","-69"
"abs plastic","35.5"
"abscess cavity","-70"
"abscess formation","-58"
"abscessed","-59"
"abscisic acid","-67"
"abscission","-67"
"abscond","-83"
"abseil","-80"
"absence","-38"
"absence of communication","-83"
"absence of danger","35.7"
"absence of light","-83"
"absence of risk","35.7"
"absence seizure","-83"
"absent","-82"
"absent-minded","-82"
"absentee","-66"
"absenteeism","72.2"
"absently","30.8"
"absolute","20.8"
"absolute accuracy","84.9"
"absolute alcohol","-87"
"absolute discretion","81.8"
"absolute dominion","-59"
"absolute equality","10.5"
"absolute idealism","72.9"
"absolute immunity","81.6"
"absolute joy","87"
"absolute liability","-72"
"absolute loyalty","89.4"
"absolute monarch","5.7"
"absolute monarchy","-83"
"absolute necessity","-86"
"absolute negativity","-71"
"absolute nonsense","78"
"absolute perfection","82"
"absolute pitch","92"
"absolute power","-87"
"absolute prohibition","-84"
"absolute refractory period","-91"
"absolute rubbish","78"
"absolute ruler","5.7"
"absolute silence","19.6"
"absolute truth","20.8"
"absolute value","4.7"
"absolute veto","-68"
"absolute vodka","-87"
"absolutely","88.3"
"absolutely brilliant","87"
"absolutely clear","-64"
"absolutely critical","25.2"
"absolutely crucial","25.2"
"absolutely essential","25.2"
"absolutely false","-3"
"absolutely fantastic","87"
"absolutely impossible","-85"
"absolutely incapable","-63"
"absolutely necessary","-78"
"absolutely perfect","86.7"
"absolutely stunning","87"
"absolutely vital","25.2"
"absolutely wonderful","87"
"absolution","90.9"
"absolutism","-83"
"absolutist","-73"
"absolutist rule","8.6"
"absolutive","-75"
"absolve","90.9"
"absolved","78.6"
"absolvitory","63.5"
"absorb","70.9"
"absorb carbon dioxide","10.7"
"absorb heat","3.8"
"absorb information","73"
"absorb moisture","79.9"
"absorb oxygen","-65"
"absorb water","81.3"
"absorbable suture","-63"
"absorbent","7.4"
"absorbent cotton","10.4"
"absorbent paper","-2"
"absorbing","69.2"
"absorbing carbon dioxide","10.7"
"absorbs moisture","-65"
"absorption","73.8"
"abstain from","-81"
"abstaining from","-87"
"abstemious","74.4"
"abstemiousal","69"
"abstemiousness","-63"
"abstention","33.2"
"absterge","79.4"
"abstinance","-73"
"abstinence","-87"
"abstinence education","-87"
"abstinence only","-87"
"abstinent","-77"
"abstract","15.7"
"abstract mathematical","-94"
"abstract think","93.9"
"abstract thought","66.5"
"abstraction","16.4"
"abstractionism","-12"
"abstractly","84.1"
"abstruse","82.9"
"abstruseness","-91"
"abstrusity","-91"
"absurd","-81"
"absurdism","77.6"
"absurdist","6.5"
"absurdist comedy","77.6"
"absurdist humor","-80"
"absurdity","-72"
"absurdly","-80"
"abugida","-76"
"abundance","10.4"
"abundant","5.1"
"abundant fruit","79.2"
"abundant wildlife","80.2"
"abundantly","79.2"
"abusable","-94"
"abuse","-16"
"abuse neglect","-95"
"abused alcohol","93.1"
"abusing alcohol","93.1"
"abusive","-84"
"abusive behavior","-69"
"abusive boyfriend","67.5"
"abusive conduct","-84"
"abusive father","-88"
"abusive husband","-88"
"abusive parent","-69"
"abusive stepfather","-88"
"abusive treatment","-79"
"abusively","-41"
"abut","79.8"
"abuzz","-77"
"abysmal","84.6"
"abysmally","-43"
"abyss","-84"
"abyssal plain","-4"
"abyssinicum","-65"
