POLARITY		CONCEPT
negative		abandon
negative		abase
negative		abash
negative		abashment
negative		abate
negative		abattoir
negative		abbreviate
negative		abdicate
positive		abdominoplasty
negative		abduce
negative		abduct
negative		abduct_victim
negative		aberrance
negative		aberrancy
negative		aberrant
negative		aberrant_behavior
negative		aberrant_from
negative		aberrant_gait
negative		aberrant_posture
negative		aberrant_sexual
negative		aberrant_sexual_intercourse
negative		aberration
negative		abetalipoproteinemia
negative		abettor
negative		abeyance
negative		abhor
negative		abhorrence
negative		abhorrent
negative		abhorrent_activity
positive		abidance
positive		abide
positive		abide_by
positive		abide_by_citation
positive		abide_drought
positive		abide_family
positive		abided_by
positive		abiding_commitment
positive		abiding_love
positive		abies_alba
positive		ability
positive		ability_drill
positive		ability_plant
negative		ability_tool
negative		abject
negative		abject_behavior
positive		abject_calorie
negative		abject_calorie_vegetable
positive		abject_density
positive		abject_dose_rate
negative		abject_failure
negative		abject_fat
positive		abject_fear
negative		abject_income_elderly
negative		abject_light_environment
negative		abject_loader
positive		abject_luminosity
negative		abject_misery
negative		abject_poverty
positive		abject_probability
positive		abject_romantic
negative		abject_salinity
negative		abject_soil_fertility
negative		abject_solubility
negative		abject_spirits
negative		abject_terror
negative		abjection
negative		abjectly
negative		abjectness
negative		abjuration
negative		abjure
negative		ablate
positive		ablaze
positive		ablaze_beam
positive		ablaze_breeze
positive		ablaze_love
positive		ablest
positive		ably
positive		abnegate
negative		abnegation
negative		abnormal
negative		abnormal_accumulation
negative		abnormal_attitude
positive		abnormal_bone
positive		abnormal_cardiac
negative		abnormal_carriage
positive		abnormal_contribution
negative		abnormal_curvature
negative		abnormal_enlargement
positive		abnormal_from
negative		abnormal_gait
negative		abnormal_model
negative		abnormal_pace
negative		abnormal_pose
negative		abnormal_position
negative		abnormal_posture
positive		abnormal_prion
negative		abnormal_sexual
negative		abnormal_sexual_intercourse
negative		abnormal_sit
negative		abnormal_sperm
negative		abnormal_spermatozoan
negative		abnormal_spermatozoon
negative		abnormal_stance
negative		abnormal_strength
negative		abnormal_symptom
negative		abnormalcy
negative		abnormality
negative		abnormally
negative		abnormally_abject
negative		abnormally_deep
negative		abnormally_downcast
negative		abnormally_dry
positive		abnormally_fast
negative		abnormally_high
positive		abnormally_humble
negative		abnormally_inferior
negative		abnormally_insufficient
negative		abnormally_low
negative		abnormally_lowly
negative		abnormally_miserable
positive		abnormally_modest
negative		abnormally_rock_bottom
positive		abnormally_soft
positive		abode
negative		abolish
positive		abolish_capital_penalization
positive		abolish_capital_punishment
positive		abolish_corporal_punishment
positive		abolish_punishment
positive		abolish_slavery
negative		abolishment
negative		abolition
positive		abolition_movement
positive		abolitionism
positive		abolitionist
negative		abolitionist_movement
negative		abomasum
negative		abominable
positive		abominable_breath
negative		abominable_famine
negative		abominable_haircut
negative		abominable_inflammation
positive		abominable_mistake
negative		abominable_mouth
positive		abominable_snowman
negative		abominable_stimulus
negative		abominable_toll
positive		abominable_word
negative		abominably
negative		abominate
negative		abomination
negative		aboon
positive		aboriginal
positive		aboriginal_adulthood
positive		aboriginal_culture
positive		aboriginal_heritage
positive		aboriginal_wood
positive		aborigine
negative		abort
negative		aborticide
positive		abortifacient
positive		abortifacient_organism
negative		abortion
negative		abortion_ban
negative		abortion_pill
negative		abortive
positive		abortive_assail
positive		abortive_assault
positive		abortive_attack
negative		abortive_attempt
positive		abortive_blast
positive		abortive_flack
positive		abortive_flak
positive		abortive_onrush
positive		abortive_onset
positive		abortive_onslaught
positive		abortive_snipe
positive		abortive_stint
negative		abortus
negative		aboulia
positive		aboulic
positive		abound
negative		abound_asunder
negative		about_fucking_time
positive		about_right
negative		about_time
positive		about_to_start
positive		above_average
negative		above_paygrade
positive		aboveboard
positive		aboveground_elevation
positive		aboveground_epithelium
positive		aboveground_impoundment
negative		abracadabra
negative		abradant_wear
negative		abrade
positive		abrahamic_religion
negative		abrasion
positive		abrasion_halt
positive		abrasion_resistant
negative		abrasion_wheat
negative		abrasive
negative		abrasive_bear
negative		abrasive_break
negative		abrasive_break_apart
negative		abrasive_bust
negative		abrasive_cereal
negative		abrasive_chemical
positive		abrasive_cleaner
negative		abrasive_cleaning_tool
negative		abrasive_cleanser
positive		abrasive_cleansing_agent
positive		abrasive_dry_cleaner
negative		abrasive_endure
negative		abrasive_fag
negative		abrasive_fall_apart
negative		abrasive_fatigu
negative		abrasive_food_grain
negative		abrasive_grain
negative		abrasive_granulate
negative		abrasive_habiliment
negative		abrasive_ingrain
negative		abrasive_jade
negative		abrasive_metric_grain
negative		abrasive_outwear
positive		abrasive_pavement
positive		abrasive_personality
negative		abrasive_tire
negative		abrasive_vesture
negative		abrasive_wear
negative		abrasive_wear_thin
negative		abrasive_wearable
negative		abrasively
positive		abreaction
negative		abreast
negative		abridge
negative		abridge_clutter
negative		abridge_fluorescence
positive		abridge_friction
positive		abridge_hair
positive		abridge_pain
negative		abridge_stigma
negative		abridge_wood
negative		abridged
negative		abridgement
positive		abridgement_nucleus
negative		abridgment
positive		abridgment_nucleus
positive		abrin
negative		abrogate
negative		abrupt
positive		abs
negative		abscess
positive		abscess_cavity
positive		abscess_enclosed_space
positive		abscess_pit
positive		abscess_tooth_decay
positive		abscessed
negative		abscisic_acid
negative		abscission
negative		abscond
negative		abseil
negative		absence
negative		absence_epilepsy
negative		absent
negative		absent_arsenic
negative		absent_graffiti
positive		absentia
positive		absently
negative		absentminded
positive		absolute
negative		absolutepunk
positive		absolution
negative		absolutism
negative		absolutist
positive		absolutist_rule
negative		absolutistic
negative		absolutive
positive		absolve
positive		absolved
positive		absolvitory
positive		absorb
positive		absorb_carbon_dioxide
positive		absorb_food
positive		absorb_heat
positive		absorb_moisture
positive		absorb_oxygen
positive		absorb_perspiration
positive		absorb_shock
positive		absorb_solar_energy
positive		absorb_sunlight
positive		absorb_sweat
positive		absorb_wet
positive		absorbable_surgical_seam
positive		absorbable_sutura
positive		absorbable_suture
positive		absorbance
negative		absorbed_dose
positive		absorbency
positive		absorbing
positive		absorbing_carbon_dioxide
positive		absorbing_moisture
positive		absorbs_heat
negative		absorbs_light
positive		absorbs_moisture
positive		absorbs_wet
positive		absorption
negative		absorption_coefficient
positive		absorption_spectra
negative		absorption_spectroscopy
negative		absorption_spectrum
positive		absorptive
negative		absorptive_anal_intercourse
negative		absquatulate
negative		abstain_from
positive		abstainer
positive		abstainer_ideal
positive		abstemious
positive		abstemiousness
positive		abstention
negative		abstinence
negative		abstinent
positive		abstraction
positive		abstraction_proficiency
positive		abstraction_refinement
positive		abstractionism
negative		abstractive
positive		abstractly
negative		abstruse
negative		abstruse_concern
positive		abstruse_fryer
negative		abstruse_gash
negative		abstruse_knowledge
negative		abstruse_mid_wicket
negative		abstruse_pit
negative		abstruse_ravine
negative		abstruse_sigh
positive		abstruse_sympathy
negative		absurd
negative		absurdism
negative		absurdist
negative		absurdist_humor
negative		absurdist_mood
negative		absurdist_temper
positive		absurdist_wit
negative		absurdity
negative		absurdly
negative		absurdly_abject
negative		absurdly_alto
negative		absurdly_baritone
negative		absurdly_broken
negative		absurdly_contralto
negative		absurdly_deep
negative		absurdly_deficient
negative		absurdly_downcast
negative		absurdly_high
positive		absurdly_humble
negative		absurdly_inferior
negative		absurdly_insufficient
negative		absurdly_low
negative		absurdly_low_altitude
negative		absurdly_low_down
negative		absurdly_low_gear
negative		absurdly_low_level
negative		absurdly_low_pressure
negative		absurdly_low_set
negative		absurdly_lowly
negative		absurdly_lowset
negative		absurdly_miserable
positive		absurdly_modest
negative		absurdly_moo
negative		absurdly_nether
negative		absurdly_rock_bottom
negative		absurdly_scurvy
positive		absurdly_soft
negative		absurdly_squat
negative		absurdly_throaty
negative		absurdly_underslung
negative		abulia
positive		abundance
positive		abundant
positive		abundant_add
negative		abundant_alluvial_soil
positive		abundant_append
positive		abundant_aroma
positive		abundant_biological_resource
positive		abundant_bird
positive		abundant_birdie
positive		abundant_birdwatch
negative		abundant_blubber
positive		abundant_boo
positive		abundant_born_resource
positive		abundant_bronx_cheer
positive		abundant_cancel_resource
positive		abundant_cater
positive		abundant_chick
negative		abundant_commercialism
negative		abundant_corruption
negative		abundant_cream
positive		abundant_cultural_diversity
positive		abundant_dame
positive		abundant_deforestation
positive		abundant_doll
positive		abundant_earthy_resource
negative		abundant_flora
positive		abundant_fowl
negative		abundant_grassland
positive		abundant_green
positive		abundant_heritage
positive		abundant_hoot
negative		abundant_ice
positive		abundant_innate_resource
positive		abundant_insignia
positive		abundant_instinctive_resource
positive		abundant_intelligent_resource
positive		abundant_landscape
positive		abundant_lifelike_resource
positive		abundant_mud
positive		abundant_natural_imagination
positive		abundant_natural_resource
positive		abundant_payment_mode
positive		abundant_peatland
positive		abundant_physical_resource
negative		abundant_prey
negative		abundant_protein
positive		abundant_provide
positive		abundant_provision
positive		abundant_rainfall
positive		abundant_razz
positive		abundant_rope
positive		abundant_rude_resource
negative		abundant_salivation
positive		abundant_shuttle
positive		abundant_shuttlecock
positive		abundant_skirt
positive		abundant_sunshine
positive		abundant_supply
positive		abundant_vegetation
positive		abundant_wench
positive		abundant_wildlife
negative		abundantly
positive		abundantly_clear
negative		abusable
negative		abuse
positive		abuse_closer
negative		abuse_neglect
negative		abuse_pyramid
negative		abuse_scandal
negative		abused_dose
negative		abused_drug
negative		abusing
negative		abusing_alcohol
negative		abusive
negative		abusive_activity
positive		abusive_additive
positive		abusive_beau
positive		abusive_boyfriend
negative		abusive_conduct
negative		abusive_father
positive		abusive_fellow
negative		abusive_interrogation
negative		abusive_language
positive		abusive_metal
negative		abusive_microorganism
negative		abusive_stepfather
positive		abusive_swain
negative		abusively
positive		abut
negative		abut_rot
positive		abut_weld
positive		abuzz
negative		abuzz_crowd
positive		abysm
negative		abysmal
negative		abyss
negative		abyssal
negative		abyssal_concern
positive		abyssal_fryer
negative		abyssal_gash
negative		abyssal_mid_wicket
negative		abyssal_pit
negative		abyssal_ravine
negative		abyssal_sigh
positive		abyssal_sympathy
positive		academic
positive		academic_accomplishment
positive		academic_adviser
positive		academic_advisor
positive		academic_bailiwick
positive		academic_check
positive		academic_correct
positive		academic_correction
negative		academic_degree
positive		academic_degree_blackbelt
negative		academic_degree_burglary
positive		academic_degree_granting_institution
positive		academic_department
positive		academic_discipline
positive		academic_discourse
negative		academic_excellence
positive		academic_integrity
positive		academic_journal
positive		academic_merit
negative		academic_misconduct
positive		academic_monograph
positive		academic_session_initiation_protocol
positive		academic_sort_out
positive		academic_unity
positive		academical
negative		academically
negative		academically_blackguardly
negative		academically_bribable
negative		academically_corrupt
negative		academically_corruptible
negative		academically_deceitful
negative		academically_deceptive
negative		academically_false
negative		academically_fraudulent
negative		academically_picaresque
negative		academically_purchasable
negative		academically_rascally
negative		academically_roguish
negative		academically_scoundrelly
negative		academically_shoddy
negative		academically_thievish
negative		academically_untruthful
negative		academically_venal
positive		academician
positive		academician_department
positive		academician_discipline
positive		academician_integrity
negative		academicism
positive		academism
negative		acalculia
negative		acanthamoeba
negative		acanthocephalan
positive		acanthotic
negative		acanthus_leaf
negative		acaricide
positive		acausal
negative		accede
positive		accede_creek
negative		accede_hibernation
negative		accede_payment
negative		accelerant
positive		accelerate
positive		accelerometer
negative		accented_syllable
negative		accentual
negative		accentual_verse
negative		accentuate
negative		accentuate_reactivity
positive		accentuate_relief
positive		accentuate_urinary_incontinence
negative		accentuation
positive		accept
positive		access
negative		accident
negative		accidie
positive		acclaim
positive		acclaimed
positive		acclamation
positive		acclimate
positive		acclivity_steeply
positive		accolade
positive		accolade_citation
positive		accolade_recipient
positive		accommodate
positive		accommodate_guilt
positive		accommodatingly
negative		accommodative
positive		accommodative_capacity
positive		accommodative_radiation
positive		accompaniment
